P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY07,AX118,BY07_AX_3,34,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX119,BY07_AX_3,36,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX120,BY07_AX_3,38,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX121,BY07_AX_3,40,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX122,BY07_AX_3,42,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX123,BY07_AX_3,44,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX124,BY07_AX_3,46,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX125,BY07_AX_3,48,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX126,BY07_AX_3,50,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX127,BY07_AX_3,52,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX128,BY07_AX_3,54,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX129,BY07_AX_3,56,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX130,BY07_AX_3,58,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX131,BY07_AX_3,60,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX132,BY07_AX_3,62,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX133,BY07_AX_3,64,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX134,BY07_AX_3,66,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX135,BY07_AX_3,68,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX136,BY07_AX_3,70,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX137,BY07_AX_3,72,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX138,BY07_AX_3,74,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX139,BY07_AX_3,76,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX140,BY07_AX_3,78,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX141,BY07_AX_3,80,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX142,BY07_AX_3,82,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX143,BY07_AX_3,84,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX144,BY07_AX_3,86,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX145,BY07_AX_3,88,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX146,BY07_AX_3,90,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX147,BY07_AX_3,92,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX148,BY07_AX_3,94,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX149,BY07_AX_3,96,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX150,BY07_AX_3,98,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
